PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
1630173,Precious,Achiuwa,Precious Achiuwa,1999-09-19T00:00:00,Memphis,Nigeria,Memphis/Nigeria,6-8,243,3,5,Forward,Active,Y,1610612752,Knicks,NYK,knicks,New York,precious_achiuwa,2020.0,2023.0,N,Y,Y,2020,1,20,N
203500,Steven,Adams,Steven Adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-11,265,10,4,Center,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,steven_adams,2013.0,2023.0,N,Y,Y,2013,1,12,N
1628389,Bam,Adebayo,Bam Adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255,6,13,Center-Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017.0,2023.0,N,Y,Y,2017,1,14,N
1630534,Ochai,Agbaji,Ochai Agbaji,2000-04-20T00:00:00,Kansas,USA,Kansas/USA,6-5,215,1,30,Guard,Active,Y,1610612762,Jazz,UTA,jazz,Utah,ochai_agbaji,2022.0,2023.0,Y,Y,Y,2022,1,14,N
1630583,Santi,Aldama,Santi Aldama,2001-01-10T00:00:00,Loyola-Maryland,Spain,Loyola-Maryland/Spain,7-0,215,2,7,Forward-Center,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,santi_aldama,2021.0,2023.0,Y,Y,Y,2021,1,30,N
1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,1998-09-02T00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,6-5,205,4,9,Guard,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,nickeil_alexander-walker,2019.0,2023.0,Y,Y,Y,2019,1,17,N
1628960,Grayson,Allen,Grayson Allen,1995-10-08T00:00:00,Duke,USA,Duke/USA,6-4,198,5,8,Guard,Active,Y,1610612756,Suns,PHX,suns,Phoenix,grayson_allen,2018.0,2023.0,Y,Y,Y,2018,1,21,N
1628386,Jarrett,Allen,Jarrett Allen,1998-04-21T00:00:00,Texas,USA,Texas/USA,6-9,243,6,31,Center,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jarrett_allen,2017.0,2023.0,N,Y,Y,2017,1,22,N
1630631,Jose,Alvarado,Jose Alvarado,1998-04-12T00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-0,179,2,15,Guard,Active,Y,1610612740,Pelicans,NOP,pelicans,New Orleans,jose_alvarado,2021.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
203937,Kyle,Anderson,Kyle Anderson,1993-09-20T00:00:00,UCLA,USA,UCLA/USA,6-9,230,9,1,Forward-Guard,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,kyle_anderson,2014.0,2023.0,Y,Y,Y,2014,1,30,N
